Gas Price,Auto Sales
 $1.26 ,"769,000"
 $1.34 ,"787,800"
 $1.32 ,"661,200"
 $1.09 ,"621,500"
 $1.04 ,"730,300"
 $1.08 ,"690,700"
 $1.13 ,"769,500"
 $1.13 ,"771,700"
 $1.10 ,"773,200"
 $1.12 ,"690,400"
 $1.11 ,"671,400"
 $1.09 ,"702,000"
 $1.10 ,"606,500"
 $1.08 ,"593,200"
 $1.02 ,"560,500"
 $1.01 ,"651,100"
 $1.01 ,"720,400"
 $1.05 ,"715,800"
 $1.11 ,"733,700"
 $1.15 ,"824,800"
 $1.14 ,"733,600"
 $1.12 ,"644,800"
 $1.12 ,"673,700"
 $1.11 ,"694,500"
 $1.11 ,"601,000"
 $1.08 ,"660,500"
 $1.06 ,"562,200"
 $1.05 ,"593,400"
 $1.05 ,"735,100"
 $1.08 ,"768,700"
 $1.10 ,"812,100"
 $1.10 ,"835,600"
 $1.08 ,"763,500"
 $1.06 ,"697,100"
 $1.05 ,"704,000"
 $1.09 ,"717,300"
 $1.07 ,"667,600"
 $1.01 ,"661,100"
 $1.00 ,"606,100"
 $1.01 ,"698,600"
 $1.01 ,"876,200"
 $1.03 ,"785,800"
 $1.05 ,"814,500"
 $1.08 ,"871,400"
 $1.11 ,"713,200"
 $1.16 ,"782,300"
 $1.14 ,"741,800"
 $1.11 ,"738,000"
 $1.12 ,"670,700"
 $1.09 ,"691,800"
 $1.08 ,"581,400"
 $1.07 ,"647,800"
 $1.07 ,"798,300"
 $1.11 ,"685,500"
 $1.18 ,"824,700"
 $1.19 ,"852,300"
 $1.15 ,"720,800"
 $1.12 ,"805,800"
 $1.11 ,"713,200"
 $1.09 ,"698,600"
 $1.06 ,"641,300"
 $1.07 ,"650,600"
 $1.09 ,"564,500"
 $1.09 ,"687,700"
 $1.14 ,"789,400"
 $1.23 ,"757,100"
 $1.28 ,"867,200"
 $1.26 ,"788,800"
 $1.23 ,"728,000"
 $1.21 ,"745,100"
 $1.20 ,"691,900"
 $1.20 ,"673,100"
 $1.23 ,"586,200"
 $1.24 ,"599,600"
 $1.24 ,"608,600"
 $1.23 ,"644,600"
 $1.21 ,"762,300"
 $1.20 ,"694,600"
 $1.20 ,"767,400"
 $1.20 ,"735,400"
 $1.17 ,"735,000"
 $1.22 ,"735,600"
 $1.23 ,"663,600"
 $1.20 ,"659,700"
 $1.17 ,"558,500"
 $1.13 ,"652,300"
 $1.09 ,"522,500"
 $1.05 ,"611,600"
 $1.02 ,"719,900"
 $1.03 ,"706,700"
 $1.06 ,"789,100"
 $1.06 ,"813,800"
 $1.06 ,"630,700"
 $1.03 ,"669,800"
 $1.01 ,"680,200"
 $1.02 ,"708,300"
 $1.00 ,"556,000"
 $0.95 ,"676,300"
 $0.94 ,"543,500"
 $0.92 ,"666,900"
 $0.98 ,"783,900"
 $1.13 ,"732,600"
 $1.13 ,"826,200"
 $1.11 ,"825,800"
 $1.16 ,"766,000"
 $1.22 ,"792,200"
 $1.26 ,"710,200"
 $1.24 ,"683,000"
 $1.25 ,"633,300"
 $1.27 ,"673,900"
 $1.29 ,"616,700"
 $1.38 ,"763,500"
 $1.52 ,"830,200"
 $1.47 ,"770,000"
 $1.49 ,"828,000"
 $1.63 ,"835,200"
 $1.55 ,"738,500"
 $1.47 ,"796,300"
 $1.55 ,"742,500"
 $1.53 ,"659,200"
 $1.52 ,"593,700"
 $1.44 ,"603,900"
 $1.45 ,"586,900"
 $1.45 ,"695,200"
 $1.41 ,"783,900"
 $1.55 ,"684,500"
 $1.70 ,"808,800"
 $1.62 ,"804,300"
 $1.42 ,"660,600"
 $1.42 ,"720,200"
 $1.52 ,"635,100"
 $1.32 ,"806,900"
 $1.17 ,"597,200"
 $1.09 ,"568,500"
 $1.11 ,"521,100"
 $1.11 ,"620,000"
 $1.25 ,"737,900"
 $1.40 ,"712,900"
 $1.39 ,"753,300"
 $1.38 ,"755,700"
 $1.40 ,"735,000"
 $1.40 ,"822,500"
 $1.40 ,"597,900"
 $1.45 ,"599,200"
 $1.42 ,"566,700"
 $1.39 ,"620,000"
 $1.46 ,"539,700"
 $1.61 ,"575,000"
 $1.69 ,"687,300"
 $1.59 ,"648,600"
 $1.50 ,"721,900"
 $1.49 ,"683,800"
 $1.51 ,"674,600"
 $1.62 ,"732,100"
 $1.68 ,"592,400"
 $1.56 ,"569,700"
 $1.51 ,"554,100"
 $1.48 ,"576,600"
 $1.57 ,"491,100"
 $1.65 ,"578,000"
 $1.74 ,"687,500"
 $1.80 ,"639,700"
 $1.98 ,"740,500"
 $1.97 ,"668,000"
 $1.91 ,"681,400"
 $1.88 ,"636,600"
 $1.87 ,"605,700"
 $2.00 ,"583,900"
 $1.98 ,"518,400"
 $1.84 ,"651,600"
 $1.83 ,"487,300"
 $1.91 ,"572,000"
 $2.08 ,"718,800"
 $2.24 ,"714,100"
 $2.16 ,"690,200"
 $2.16 ,"704,500"
 $2.29 ,"711,300"
 $2.49 ,"697,400"
 $2.90 ,"645,300"
 $2.72 ,"560,800"
 $2.26 ,"541,100"
 $2.19 ,"617,000"
 $2.32 ,"558,800"
